ChST,Chamorro Standard Time,+10
DDUT,Dumont-d'Urville Time,+10
PGT,Papua New Guinea Time,+10
VLAT,Vladivostok Time,+10
YAKST,Yakutsk Summer Time,+10
YAPT,Yap Time,+10
ACDT,Australian Central Daylight Time,+10:30
LHST,Lord Howe Standard Time,+10:30
AEDT,Australian Eastern Daylight Time,+11
BST,Bougainville Standard Time,+11
KOST,Kosrae Time,+11
LHDT,Lord Howe Daylight Time,+11
MAGT,Magadan Time,+11
NCT,New Caledonia Time,+11
NFT,Norfolk Time,+11
PONT,Pohnpei Standard Time,+11
SAKT,Sakhalin Time,+11
SBT,Solomon Islands Time,+11
SRET,Srednekolymsk Time,+11
VLAST,Vladivostok Summer Time,+11
VUT,Vanuatu Time,+11
ANAST,Anadyr Summer Time,+12
ANAT,Anadyr Time,+12
FJT,Fiji Time,+12
GILT,Gilbert Island Time,+12
MAGST,Magadan Summer Time,+12
MHT,Marshall Islands Time,+12
NRT,Nauru Time,+12
NZST,New Zealand Standard Time,+12
PETST,Kamchatka Summer Time,+12
PETT,Kamchatka Time,+12
TVT,Tuvalu Time,+12
WAKT,Wake Time,+12
WFT,Wallis and Futuna Time,+12
CHAST,Chatham Island Standard Time,+12:45
FJST,Fiji Summer Time,+13
NZDT,New Zealand Daylight Time,+13
PHOT,Phoenix Island Time,+13
TKT,Tokelau Time,+13
TOT,Tonga Time,+13
WST,West Samoa Time,+13
CHADT,Chatham Island Daylight Time,+13:45
LINT,Line Islands Time,+14
TOST,Tonga Summer Time,+14
